page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0126	TASAKI2020	000126	113	126	§4.3.1	content	complete	complete	1d9b78e380c3253ec47a728a462c27f4b39d01c1
PG-TASAKI2020-0127	TASAKI2020	000127	114	127	§4.3.1	content	complete	complete	9ba94a5973611cb9fa4308f2718e26e80fc52309
PG-TASAKI2020-0128	TASAKI2020	000128	115	128	§4.3.1	content	complete	complete	16adf692d3d750528da2db124a9950a4083321ed
PG-TASAKI2020-0129	TASAKI2020	000129	116	129	§4.3.1	content	complete	complete	680f0bdddccda55242b935cf03a1ded1aedab45d
PG-TASAKI2020-0130	TASAKI2020	000130	117	130	§4.3.2	content	complete	complete	63387374d6fe70ea96c13657d664875e5d1f8cad
PG-TASAKI2020-0131	TASAKI2020	000131	118	131	§4.4	content	complete	complete	549eee5d032dee71580135433b1e096ce22407ed
PG-TASAKI2020-0132	TASAKI2020	000132	119	132	§4.4.1	content	complete	complete	de90c6515af0c40a8df89ae34f793e36f4852ed6
PG-TASAKI2020-0133	TASAKI2020	000133	120	133	§4.4.1	content	complete	complete	fb883da76349c33295226720c83672ec3f07d8cb
PG-TASAKI2020-0134	TASAKI2020	000134	121	134	§4.4.2	content	complete	complete	6c8acbc1bbf72711cb5e994b4cd0e72ccb67a7e2
PG-TASAKI2020-0135	TASAKI2020	000135	122	135	§4.4.2	content	complete	complete	abba668b1e62938d5115c1e376e2fb203ab3495b
PG-TASAKI2020-0136	TASAKI2020	000136	123	136	§4.4.2	content	complete	complete	3872b7683c8e3f4febeb7408f28f8023470f8bd2
PG-TASAKI2020-0137	TASAKI2020	000137	124	137	§4.4.3	content	complete	complete	6a5a9166b1e83a014f6c22141e77fe66d63a2cad
PG-TASAKI2020-0138	TASAKI2020	000138	125	138	§4.4.3	content	complete	complete	e16aa25289d3c0fe56420babff83353833258788
PG-TASAKI2020-0139	TASAKI2020	000139	126	139	§4.4.3	content	complete	complete	dfc0a3d09836635823851c34db2330b8b3059461
PG-TASAKI2020-0140	TASAKI2020	000140	127	140	§4.4.3	content	complete	complete	7b4a6d7cef1fa037754e61721acff06168d6675e
PG-TASAKI2020-0141	TASAKI2020	000141	128	141	§4.4.3	content	complete	complete	aa516a78db6a6921ee75ab7c442e035d8414b2b2
PG-TASAKI2020-0142	TASAKI2020	000142	129	142	§4.4.3	content	complete	complete	956078bc188abb7a0e88a2b3142a29152282ec93
PG-TASAKI2020-0143	TASAKI2020	000143	130	143	§4.4.3	content	complete	complete	28bfedaa4c98232d4e672d0f701c9d12fcc88fa7
PG-TASAKI2020-0144	TASAKI2020	000144	131	144	§4.4.4	content	complete	complete	f1ab99fc2753f39fa75f2ecea6923b351cf84456
PG-TASAKI2020-0145	TASAKI2020	000145	132	145	References	content	complete	complete	297dc862963a9ecf943ffa04ad6c711280d149fa
